"word","a_to_h_letter_count","frequency_score"
"abuse","3","950"
"fugue","3","949"
"elbow","2","948"
"crumb","2","947"
"pansy","1","946"
"welsh","2","945"
"terse","2","944"
"suave","2","943"
"gamut","2","942"
"swung","1","941"
"drake","3","940"
"freed","4","939"
"afire","3","938"
"shirt","1","937"
"grout","1","936"
"oddly","2","935"
"tithe","2","934"
"plaid","2","933"
"dummy","1","932"
"broom","1","931"
"blind","2","930"
"torch","2","929"
"enemy","2","928"
"again","3","927"
"tying","1","926"
"pesky","1","925"
"alter","2","924"
"gazer","3","923"
"noble","2","922"
"ethos","2","921"
"bride","3","920"
"extol","1","919"
"decor","3","918"
"hobby","3","917"
"beast","3","916"
"idiom","1","915"
"utter","1","914"
"these","3","913"
"sixth","1","912"
"alarm","2","911"
"erase","3","910"
"elegy","3","909"
"piper","1","908"
"scaly","2","907"
"scold","2","906"
"hefty","3","905"
"chick","3","904"
"canal","3","903"
"whiny","1","902"
"slash","2","901"
"quake","2","900"
"swept","1","899"
"prude","2","898"
"heavy","3","897"
"wield","2","896"
"femme","3","895"
"lasso","1","894"
"maize","2","893"
"shale","3","892"
"screw","2","891"
"spree","2","890"
"whiff","3","889"
"scent","2","888"
"glade","4","887"
"spent","1","886"
"stoke","1","885"
"riper","1","884"
"orbit","1","883"
"cocoa","3","882"
"guilt","1","881"
"humus","1","880"
"shush","2","879"
"table","3","878"
"wrong","1","877"
"alert","2","876"
"shiny","1","875"
"elate","3","874"
"resin","1","873"
"whole","2","872"
"hunch","3","871"
"pixel","1","870"
"polar","1","869"
"hotel","2","868"
"sword","1","867"
"cleat","3","866"
"mango","2","865"
"rumba","2","864"
"puffy","2","863"
"filly","1","862"
"billy","1","861"
"leash","3","860"
"clout","1","859"
"dance","4","858"
"ovate","2","857"
"facet","4","856"
"chili","2","855"
"paint","1","854"
"liner","1","853"
"curio","1","852"
"salty","1","851"
"audio","2","850"
"snake","2","849"
"fable","4","848"
"cloak","2","847"
"navel","2","846"
"pesto","1","845"
"balmy","2","844"
"flash","3","843"
"unwed","2","842"
"early","2","841"
"churn","2","840"
"weedy","3","839"
"lease","3","838"
"spoof","1","837"
"saner","2","836"
"blend","3","835"
"salsa","2","834"
"thick","2","833"
"warty","1","832"
"manic","2","831"
"blare","3","830"
"squib","1","829"
"probe","2","828"
"crepe","3","827"
"knack","2","826"
"force","3","825"
"debut","3","824"
"order","2","823"
"haste","3","822"
"teeth","3","821"
"agent","3","820"
"widen","2","819"
"icily","1","818"
"slice","2","817"
"ingot","1","816"
"clash","3","815"
"blood","2","814"
"abode","4","813"
"throw","1","812"
"slept","1","811"
"spare","2","810"
"sewer","2","809"
"parse","2","808"
"morph","1","807"
"cacti","3","806"
"tacky","2","805"
"demon","2","804"
"moody","1","803"
"annex","2","802"
"begin","3","801"
"fuzzy","1","800"
"patch","3","799"
"water","2","798"
"admin","2","797"
"omega","3","796"
"tabby","3","795"
"macho","3","794"
"aisle","2","793"
"skiff","2","792"
"basis","2","791"
"plank","1","790"
"verge","3","789"
"botch","3","788"
"crawl","2","787"
"slain","1","786"
"cubic","3","785"
"raise","2","784"
"wrack","2","783"
"guide","3","782"
"foist","1","781"
"cameo","3","780"
"under","2","779"
"actor","2","778"
"revue","2","777"
"fraud","3","776"
"harpy","2","775"
"scoop","1","774"
"climb","2","773"
"refer","3","772"
"olden","2","771"
"clerk","2","770"
"debar","4","769"
"tally","1","768"
"ethic","3","767"
"cairn","2","766"
"tulle","1","765"
"ghoul","2","764"
"hilly","1","763"
"crude","3","762"
"apart","2","761"
"scale","3","760"
"older","2","759"
"plain","1","758"
"sperm","1","757"
"briny","1","756"
"abbot","3","755"
"rerun","1","754"
"quest","1","753"
"crisp","1","752"
"bound","2","751"
"befit","3","750"
"drawn","2","749"
"suite","1","748"
"itchy","2","747"
"cheer","4","746"
"bagel","4","745"
"guess","2","744"
"broad","3","743"
"axiom","1","742"
"chard","4","741"
"caput","2","740"
"leant","2","739"
"harsh","3","738"
"curse","2","737"
"proud","1","736"
"swing","1","735"
"opine","1","734"
"taste","2","733"
"gumbo","2","732"
"miner","1","731"
"green","3","730"
"chasm","3","729"
"lipid","1","728"
"topic","1","727"
"armor","1","726"
"brush","2","725"
"crane","3","724"
"mural","1","723"
"abled","4","722"
"habit","3","721"
"bossy","1","720"
"maker","2","719"
"dusky","1","718"
"dizzy","1","717"
"lithe","2","716"
"brook","1","715"
"jazzy","1","714"
"fifty","2","713"
"sense","2","712"
"giant","2","711"
"legal","3","710"
"fatal","3","709"
"flunk","1","708"
"began","4","707"
"prune","1","706"
"small","1","705"
"slant","1","704"
"scoff","3","703"
"covey","2","702"
"viper","1","701"
"taken","2","700"
"moral","1","699"
"vogue","2","698"
"owing","1","697"
"token","1","696"
"entry","1","695"
"booth","2","694"
"voter","1","693"
"chide","4","692"
"elfin","2","691"
"ebony","2","690"
"neigh","3","689"
"melon","1","688"
"kneed","3","687"
"decoy","3","686"
"voila","1","685"
"ankle","2","684"
"arrow","1","683"
"mushy","1","682"
"tribe","2","681"
"cease","4","680"
"eager","4","679"
"birth","2","678"
"graph","3","677"
"odder","3","676"
"terra","2","675"
"weird","2","674"
"tried","2","673"
"clack","3","672"
"color","1","671"
"rough","2","670"
"weigh","3","669"
"uncut","1","668"
"ladle","3","667"
"craft","3","666"
"dicey","3","665"
"titan","1","664"
"lucid","2","663"
"vicar","2","662"
"dress","2","661"
"ditch","3","660"
"gypsy","1","659"
"pasta","2","658"
"taffy","3","657"
"flame","3","656"
"aloof","2","655"
"sight","2","654"
"broke","2","653"
"teary","2","652"
"chart","3","651"
"wordy","1","650"
"sheer","3","649"
"leper","2","648"
"nosey","1","647"
"bulge","3","646"
"savor","1","645"
"clamp","2","644"
"funky","1","643"
"foamy","2","642"
"toxic","1","641"
"brand","3","640"
"plumb","1","639"
"dingy","2","638"
"butte","2","637"
"drill","1","636"
"tripe","1","635"
"bicep","3","634"
"tenor","1","633"
"worse","1","632"
"drama","3","631"
"hyena","3","630"
"think","1","629"
"ratio","1","628"
"cobra","3","627"
"basil","2","626"
"scrum","1","625"
"bused","3","624"
"phone","2","623"
"court","1","622"
"camel","3","621"
"proof","1","620"
"heard","4","619"
"angel","3","618"
"petal","2","617"
"throb","2","616"
"maybe","3","615"
"fetal","3","614"
"sprig","1","613"
"spine","1","612"
"shout","1","611"
"cadet","4","610"
"macro","2","609"
"dodgy","3","608"
"satyr","1","607"
"rarer","2","606"
"binge","3","605"
"trend","2","604"
"leapt","2","603"
"amiss","1","602"
"myrrh","1","601"
"width","2","600"
"sonar","1","599"
"tower","1","598"
"baron","2","597"
"fever","3","596"
"waver","2","595"
"spark","1","594"
"belie","3","593"
"expel","2","592"
"smote","1","591"
"baler","3","590"
"above","3","589"
"north","1","588"
"wafer","3","587"
"scant","2","586"
"frill","1","585"
"awash","3","584"
"snack","2","583"
"scowl","1","582"
"frail","2","581"
"drift","2","580"
"limbo","1","579"
"fence","4","578"
"motel","1","577"
"ounce","2","576"
"wreak","2","575"
"revel","2","574"
"talon","1","573"
"knelt","1","572"
"cello","2","571"
"flake","3","570"
"debug","4","569"
"anode","3","568"
"crime","2","567"
"salve","2","566"
"scout","1","565"
"imbue","2","564"
"stave","2","563"
"vague","3","562"
"chock","3","561"
"fight","3","560"
"video","2","559"
"stone","1","558"
"teach","4","557"
"cleft","3","556"
"frost","1","555"
"prawn","1","554"
"booty","1","553"
"apnea","3","552"
"stiff","2","551"
"plaza","2","550"
"ledge","4","549"
"tweak","2","548"
"board","3","547"
"grant","2","546"
"medic","3","545"
"bacon","3","544"
"cable","4","543"
"brawl","2","542"
"raspy","1","541"
"forum","1","540"
"drone","2","539"
"women","1","538"
"mucus","1","537"
"boast","2","536"
"toddy","2","535"
"coven","2","534"
"truer","1","533"
"wrath","2","532"
"stall","1","531"
"steam","2","530"
"axial","2","529"
"purer","1","528"
"daily","2","527"
"trail","1","526"
"niche","3","525"
"mealy","2","524"
"juice","2","523"
"merry","1","522"
"flail","2","521"
"papal","2","520"
"wheat","3","519"
"berry","2","518"
"cower","2","517"
"erect","3","516"
"brute","2","515"
"leggy","3","514"
"snipe","1","513"
"sinew","1","512"
"skier","1","511"
"penny","1","510"
"rally","1","509"
"umbra","2","508"
"scary","2","507"
"modem","2","506"
"gross","1","505"
"avian","2","504"
"greed","4","503"
"satin","1","502"
"tonic","1","501"
"parka","2","500"
"sniff","2","499"
"livid","1","498"
"stark","1","497"
"giddy","3","496"
"reuse","2","495"
"taboo","2","494"
"avoid","2","493"
"quote","1","492"
"devil","2","491"
"liken","1","490"
"gloss","1","489"
"gayer","3","488"
"beret","3","487"
"noise","1","486"
"gland","3","485"
"dealt","3","484"
"sling","1","483"
"opera","2","482"
"thigh","3","481"
"tonga","2","480"
"flare","3","479"
"wound","1","478"
"white","2","477"
"bulky","1","476"
"etude","3","475"
"horse","2","474"
"circa","3","473"
"paddy","3","472"
"inbox","1","471"
"fizzy","1","470"
"grain","2","469"
"exert","2","468"
"surge","2","467"
"gleam","3","466"
"belle","3","465"
"salvo","1","464"
"crush","2","463"
"fruit","1","462"
"sappy","1","461"
"taker","2","460"
"tract","2","459"
"ovine","1","458"
"frank","2","457"
"reedy","3","456"
"filth","2","455"
"spasm","1","454"
"heave","4","453"
"mambo","2","452"
"right","2","451"
"clank","2","450"
"lumen","1","449"
"borne","2","448"
"sauce","3","447"
"amber","3","446"
"lathe","3","445"
"carat","3","444"
"corer","2","443"
"dirty","1","442"
"affix","3","441"
"alloy","1","440"
"taint","1","439"
"sheep","3","438"
"mauve","2","437"
"flung","2","436"
"yacht","3","435"
"fried","3","434"
"quail","1","433"
"brunt","1","432"
"grimy","1","431"
"curvy","1","430"
"cagey","4","429"
"rinse","1","428"
"deuce","4","427"
"state","2","426"
"grasp","2","425"
"bison","1","424"
"graft","3","423"
"sandy","2","422"
"baste","3","421"
"flask","2","420"
"hedge","5","419"
"girly","1","418"
"swash","2","417"
"boney","2","416"
"coupe","2","415"
"endow","2","414"
"abhor","3","413"
"welch","3","412"
"blade","4","411"
"tight","2","410"
"geese","4","409"
"miser","1","408"
"mirth","1","407"
"cloud","2","406"
"cabal","4","405"
"leech","4","404"
"close","2","403"
"tenth","2","402"
"pecan","3","401"
"droit","1","400"
"grail","2","399"
"clone","2","398"
"guise","2","397"
"ralph","2","396"
"tango","2","395"
"biddy","3","394"
"smith","1","393"
"mower","1","392"
"payee","3","391"
"serif","2","390"
"drape","3","389"
"fifth","3","388"
"spank","1","387"
"glaze","3","386"
"allot","1","385"
"truck","1","384"
"kayak","2","383"
"testy","1","382"
"tepee","3","381"
"fully","1","380"
"zonal","1","379"
"metro","1","378"
"curry","1","377"
"grand","3","376"
"banjo","2","375"
"axion","1","374"
"bezel","3","373"
"occur","2","372"
"chain","3","371"
"nasal","2","370"
"gooey","2","369"
"filer","2","368"
"brace","4","367"
"allay","2","366"
"pubic","2","365"
"raven","2","364"
"plead","3","363"
"gnash","3","362"
"flaky","2","361"
"munch","2","360"
"dully","1","359"
"eking","2","358"
"thing","2","357"
"hurry","1","356"
"theft","3","355"
"shorn","1","354"
"pygmy","1","353"
"ranch","3","352"
"wring","1","351"
"lemon","1","350"
"shore","2","349"
"mamma","2","348"
"froze","2","347"
"newer","2","346"
"style","1","345"
"moose","1","344"
"antic","2","343"
"drown","1","342"
"vegan","3","341"
"chess","3","340"
"guppy","1","339"
"lever","2","338"
"image","3","337"
"cabby","4","336"
"druid","2","335"
"exact","3","334"
"truth","1","333"
"dopey","2","332"
"spear","2","331"
"cried","3","330"
"chime","3","329"
"crony","1","328"
"timid","1","327"
"batch","4","326"
"gauge","4","325"
"crack","3","324"
"curve","2","323"
"latte","2","322"
"witch","2","321"
"bunch","3","320"
"repel","2","319"
"anvil","1","318"
"soapy","1","317"
"meter","2","316"
"broth","2","315"
"madly","2","314"
"dried","3","313"
"scene","3","312"
"magma","3","311"
"woman","1","310"
"thong","2","309"
"punch","2","308"
"pasty","1","307"
"downy","1","306"
"knead","3","305"
"whirl","1","304"
"rapid","2","303"
"clang","3","302"
"anger","3","301"
"drive","2","300"
"goofy","2","299"
"email","2","298"
"music","1","297"
"stuff","2","296"
"bleep","3","295"
"rider","2","294"
"mecca","4","293"
"folio","1","292"
"setup","1","291"
"verso","1","290"
"quash","2","289"
"fauna","3","288"
"gummy","1","287"
"happy","2","286"
"newly","1","285"
"fussy","1","284"
"relic","2","283"
"guava","3","282"
"ratty","1","281"
"fudge","4","280"
"femur","2","279"
"chirp","2","278"
"forte","2","277"
"alibi","2","276"
"whine","2","275"
"petty","1","274"
"golly","1","273"
"plait","1","272"
"fleck","3","271"
"felon","2","270"
"gourd","2","269"
"brown","1","268"
"thrum","1","267"
"ficus","2","266"
"stash","2","265"
"decry","3","264"
"wiser","1","263"
"junta","1","262"
"daunt","2","261"
"scree","3","260"
"impel","1","259"
"await","2","258"
"press","1","257"
"whose","2","256"
"turbo","1","255"
"speak","2","254"
"mangy","2","253"
"eying","2","252"
"inlet","1","251"
"crone","2","250"
"pulse","1","249"
"staid","2","248"
"hence","4","247"
"pinch","2","246"
"teddy","3","245"
"snore","1","244"
"ripen","1","243"
"attic","2","242"
"going","2","241"
"leach","4","240"
"mouth","1","239"
"hound","2","238"
"clump","1","237"
"tonal","1","236"
"bigot","2","235"
"peril","1","234"
"piece","3","233"
"blame","3","232"
"haute","3","231"
"spied","2","230"
"undid","2","229"
"basal","3","228"
"shine","2","227"
"gecko","3","226"
"rodeo","2","225"
"guard","3","224"
"steer","2","223"
"loamy","1","222"
"scamp","2","221"
"scram","2","220"
"manly","1","219"
"hello","2","218"
"vaunt","1","217"
"organ","2","216"
"feral","3","215"
"knock","1","214"
"extra","2","213"
"condo","2","212"
"adapt","3","211"
"polka","1","210"
"rayon","1","209"
"faith","3","208"
"match","3","207"
"mercy","2","206"
"tepid","2","205"
"sleek","2","204"
"riser","1","203"
"peace","4","202"
"flush","2","201"
"catty","2","200"
"login","1","199"
"eject","3","198"
"roger","2","197"
"rival","1","196"
"untie","1","195"
"refit","2","194"
"aorta","2","193"
"adult","2","192"
"judge","3","191"
"rower","1","190"
"artsy","1","189"
"rural","1","188"
"shave","3","187"
